"","zip","family_size","income_limit","year"
"659","154","11",76519.0234375,"2017"
"660","154","NoAnswer",1,"2017"
"661","155","1",26043.75,"2017"
"662","155","2",29756.25,"2017"
"663","155","3",33487.5,"2017"
"664","155","4",37181.25,"2017"
"665","155","5",40181.25,"2017"
"666","155","6",43156.25,"2017"
"667","155","7",46125,"2017"
"668","155","8",49100,"2017"
"669","155","9",56465,"2017"
"670","155","10",64934.75,"2017"
"671","155","11",74674.9625,"2017"
"672","155","NoAnswer",1,"2017"
"673","156","1",25983.3333333333,"2017"
"674","156","2",29683.3333333333,"2017"
"675","156","3",33405.5555555556,"2017"
"676","156","4",37088.8888888889,"2017"
"677","156","5",40088.8888888889,"2017"
"678","156","6",43055.5555555556,"2017"
"679","156","7",46016.6666666667,"2017"
"680","156","8",48983.3333333333,"2017"
"681","156","9",56330.8333333333,"2017"
"682","156","10",64780.4583333333,"2017"
"683","156","11",74497.5270833333,"2017"
"684","156","NoAnswer",1,"2017"
"685","157","1",24900,"2017"
"686","157","2",28444.4444444444,"2017"
"687","157","3",32011.1111111111,"2017"
"688","157","4",35544.4444444444,"2017"
"689","157","5",38411.1111111111,"2017"
"690","157","6",41255.5555555556,"2017"
"691","157","7",44094.4444444444,"2017"
"692","157","8",46938.8888888889,"2017"
"693","157","9",53979.7222222222,"2017"
"694","157","10",62076.6805555555,"2017"
"695","157","11",71388.1826388889,"2017"
"696","157","NoAnswer",1,"2017"
"697","158","1",23790,"2017"
"698","158","2",27175,"2017"
"699","158","3",30590,"2017"
"700","158","4",33960,"2017"
"701","158","5",36690,"2017"
"702","158","6",39410,"2017"
"703","158","7",42120,"2017"
"704","158","8",44840,"2017"
"705","158","9",51566,"2017"
"706","158","10",59300.9,"2017"
"707","158","11",68196.035,"2017"
"708","158","NoAnswer",1,"2017"
"709","159","1",24966.6666666667,"2017"
"710","159","2",28522.2222222222,"2017"
"711","159","3",32100,"2017"
"712","159","4",35638.8888888889,"2017"
"713","159","5",38516.6666666667,"2017"
"714","159","6",41366.6666666667,"2017"
"715","159","7",44211.1111111111,"2017"
"716","159","8",47066.6666666667,"2017"
"717","159","9",54126.6666666667,"2017"
"718","159","10",62245.6666666667,"2017"
"719","159","11",71582.5166666666,"2017"
"720","159","NoAnswer",1,"2017"
"721","160","1",25063.6363636364,"2017"
"722","160","2",28631.8181818182,"2017"
"723","160","3",32222.7272727273,"2017"
"724","160","4",35772.7272727273,"2017"
"725","160","5",38663.6363636364,"2017"
"726","160","6",41527.2727272727,"2017"
"727","160","7",44381.8181818182,"2017"
"728","160","8",47245.4545454545,"2017"
"729","160","9",54332.2727272727,"2017"
"730","160","10",62482.1136363636,"2017"
"731","160","11",71854.4306818182,"2017"
"732","160","NoAnswer",1,"2017"
"733","161","1",25460,"2017"
"734","161","2",29080,"2017"
"735","161","3",32730,"2017"
"736","161","4",36335,"2017"
"737","161","5",39265,"2017"
"738","161","6",42175,"2017"
"739","161","7",45075,"2017"
"740","161","8",47985,"2017"
"741","161","9",55182.75,"2017"
"742","161","10",63460.1625,"2017"
"743","161","11",72979.186875,"2017"
"744","161","NoAnswer",1,"2017"
"745","162","1",22022.2222222222,"2017"
"746","162","2",25144.4444444444,"2017"
"747","162","3",28305.5555555556,"2017"
"748","162","4",31422.2222222222,"2017"
"749","162","5",33961.1111111111,"2017"
"750","162","6",36472.2222222222,"2017"
"751","162","7",38983.3333333333,"2017"
"752","162","8",41494.4444444444,"2017"
"753","162","9",47718.6111111111,"2017"
